vin,open_recalls,recall_status,name_of_recall,campaign,date_of_recall_announcement,brief_description_of_recall,safety_risk,remedy,customer_satisfaction_programs
1FMDU34X2SUB65411,Yes,Recall Incomplete,Speed Control System Modification,09S09/09V399000,13/10/09,"Ford Is Recalling Model Years 1995-2003 Windstar, 2000-2003 Excursion Diesel, 1993-1997 And 1999-2003 F-250 Sd Through F-550 Sd Diesel, 1992-2003 E-150 Through E-550, 1995-2002 Explorer, 1997 And 2002 Mercury Mountaineer, 1995-1997 And 2001-2003 Ranger, And 1994 F53 Vehicles Equipped With The Texas Instruments Speed Control Deactivation Switch (Scds).  The Scds May Leak Internally And Then Overheat, Smoke, Or Burn.",A Vehicle Fire Could Occur With Or Without The Engine Running.,"Ford Will Notify Owners That Dealers Will Install A Fused Wiring Harness In Line With The Scds.  On 1999-2003 Windstar Vehicles With A Leaking Scds, Dealers Will Also Inspect The Abs Control Module Connector And Repair As Necessary.  Repairs Will Be Completed Free Of Charge.  The Safety Recall Began On October 27, 2009.  Owners May Contact Ford At 1-888-222-2751.",[]
1FMCU0F73HUC43906,Yes,Recall Incomplete,Transmission Shifter Cable Bushing,22S43/#22V413,10/06/22,"On Your Vehicle, It May Be Possible The Transmission Shifter Cable Bushing Is Damaged Or Missing.","A Damaged Or Missing Bushing Could Prevent The Shifter From Moving The Transmission Into The Intended Gear Position And Cause The Vehicle To Move In An Unexpected Direction.  The Transmission May Not Be In The Park Position, Even Though The Shifter Position Indicates That The Vehicle Was Shifted To Park. Exiting A Vehicle Without The Transmission In The Park Position And Without The Application Of The Parking Brake May Allow The Vehicle To Roll, Increasing The Risk Of Injury Or Crash.",Parts Are Now Available To Repair Your Vehicle. Ford Motor Company Has Authorized Your Dealer To Replace The Shifter Cable Bushing And Protective Cap Free Of Charge Parts And Labor.,[]
1FTPX14V38KD34867,No,,,,,,,,[]
1FTEX15N2PKA95526,No,,,,,,,,[]
1FAFP4046WF143269,Yes,Recall Incomplete,Park Brake Control Assembly,00S37/00V349000,30/10/00,"Vehicle Description:  Passenger Vehicles Equipped With Manual Transmissions.   If A Vehicle Is Parked With The Parking Brake Not Fully Applied And Not In First Gear, As Directed In The Owner Guide, And The Self Adjustment Pawl Subsequently Skips One Or Two Teeth, The Vehicle Could Move On Some Grades.",This Could Result In Unintended Vehicle Movement And A Vehicle Crash Without Prior Warning.,Dealers Will Modify The Parking Brake Control And Install A Plate Or Over-Bracket To The Control To Lock The Self Adjust Mechanism In Position Following Adjustment.,[]
1FAHP3F25CL168752,Yes,Recall Incomplete,Door Latch Repeat Repair,20S30/20V331,08/06/20,"Your Vehicle Was Previously Repaired Under Safety Recall 15S16 Or 16S30. During That Repair, Your Vehicles Door Latches Were To Be Replaced To Help Reduce The Risk Of Doors Not Closing Or Doors Opening While Driving. It Is Possible That One Or More Of Your Door Latches Was Not Replaced Or May Not Have Been Replaced Correctly.","If A Door Latch Was Not Replaced, There Is Still A Risk That The Pawl Spring Tab Inside The Door Latch Could Break. This Condition Will Typically Prevent The Door From Latching. In Certain Situations, Where The Door Is Able To Be Closed, The Door May Unlatch While Driving, Increasing The Risk Of Injury","The Door Latch Date Codes In Your Vehicle Need To Be Inspected To Verify That The Previous Door Latch Recall Repair Was Completed As Intended. For Your Convenience And To Encourage The Continued Social Distancing Requirements By Many State And Local Governments Related To Covid-19, Ford Is Providing You With The Option To Complete This Simple Inspection Yourself Using The Attached Self-Inspection Sheet. By Utilizing This Option, You Should Not Need To Take Your Vehicle To Your Dealer Unless Your Vehicle Is Exhibiting Door Latching Concerns Door Will Not Latch Or Opens While Driving. In The Unlikely Event That The System Cannot Confirm The Latches On Your Vehicle Based On Your Input, Or If Your Vehicle Is Exhibiting Door Latching Concerns, You Will Need To Take Your Vehicle To Your Dealership For Additional Inspection And/Or Repairs. If You Do Not Wish To Complete This Inspection Yourself, Your Dealer Will Inspect Your Vehicle For You","[{'description': 'TRANSMISSION CONTROL MODULE EXTENDED WARRANTY COVERAGE', 'campaign': '14M02', 'date': '2015-01-13'}]"
1FA6P8TH2F5396391,Yes,Recall Incomplete,Luggage Compartment Lid Wiring Inspection And Rear View Camera Improper Function,22S06/22V082,16/02/22,"On Your Vehicle, The Rear View Camera Could Intermittently Display A Blank Or Distorted Image.",".A Rear View Camera That Intermittently Displays A Blank Or Distorted Image May Reduce The Drivers View Of What Is Behind The Vehicle, Increasing The Risk Of A Crash.",Parts Are Now Available To Repair Your Vehicle For All My2016-2017 And A Limited Number Of My2015 2015My Owners Will Receive A Parts Available Owner Letter Advising Them To Schedule A Service Appointment. Ford Motor Company Has Authorized Your Dealer To Inspect And Repair The Luggage Compartment Lid Wiring Harness As Necessary Free Of Charge Parts And Labor.,[]
1FA6P8TH2F5396391,Yes,Recall Incomplete,Brake Stop Lamps Remain On,22R01/22R01,07/01/22,"Ford Motor Company Is Conducting A Safety Recall 22S02 On Certain 2014-2015 Model Year Mustang, Fusion And Mkz Vehicles Registered In Certain High Ambient Temperature States And Territories.","A Missing Brake Pedal Stop Bumper Will Result In The Brake Stop Lamps Remaining On Continuously, Even When The Brake Pedal Is Not Applied, Which May Confuse Other Drivers And Increase The Risk Of A Crash. On Automatic Transmission Vehicles, A Missing Brake Pedal Bumper Could Allow The Transmission To Be Shifted Out Of The Park Position Without Depressing The Brake, Which May Result In A Vehicle Rollaway, Increasing The Risk Of A Crash.",Ford Motor Company Has Authorized Your Dealer To Replace The Brake Pedal Bumper Free Of Charge Parts And Labor.,[]
1FA6P8TH2F5396391,Yes,Recall Incomplete,Door Latch Repeat Repair,20S30/20V331,08/06/20,"Your Vehicle Was Previously Repaired Under Safety Recall 15S16 Or 16S30. During That Repair, Your Vehicles Door Latches Were To Be Replaced To Help Reduce The Risk Of Doors Not Closing Or Doors Opening While Driving. It Is Possible That One Or More Of Your Door Latches Was Not Replaced Or May Not Have Been Replaced Correctly.","If A Door Latch Was Not Replaced, There Is Still A Risk That The Pawl Spring Tab Inside The Door Latch Could Break. This Condition Will Typically Prevent The Door From Latching. In Certain Situations, Where The Door Is Able To Be Closed, The Door May Unlatch While Driving, Increasing The Risk Of Injury","The Door Latch Date Codes In Your Vehicle Need To Be Inspected To Verify That The Previous Door Latch Recall Repair Was Completed As Intended. For Your Convenience And To Encourage The Continued Social Distancing Requirements By Many State And Local Governments Related To Covid-19, Ford Is Providing You With The Option To Complete This Simple Inspection Yourself Using The Attached Self-Inspection Sheet. By Utilizing This Option, You Should Not Need To Take Your Vehicle To Your Dealer Unless Your Vehicle Is Exhibiting Door Latching Concerns Door Will Not Latch Or Opens While Driving. In The Unlikely Event That The System Cannot Confirm The Latches On Your Vehicle Based On Your Input, Or If Your Vehicle Is Exhibiting Door Latching Concerns, You Will Need To Take Your Vehicle To Your Dealership For Additional Inspection And/Or Repairs. If You Do Not Wish To Complete This Inspection Yourself, Your Dealer Will Inspect Your Vehicle For You",[]
1FTEX15N8NKA86665,No,,,,,,,,[]
