vin,open_recalls,recall_status,name_of_recall,campaign,date_of_recall_announcement,brief_description_of_recall,safety_risk,remedy,customer_satisfaction_programs,raw_json
1gnscckj9lr106753,Invalid Vin,,,,,,,,,
1GNFK33069R207042,Yes,incomplete,Throttle Position Sensor Replacement,,,"Some 2008-2009 Chevrolet Trailblazer; Gmc Envoy; Hummer H2; Saab 9-7X; 2008-2011 Cadillac Escalade, Escalade Esv, Escalade Ext; Chevrolet Avalanche, Express, Silverado, Suburban, Tahoe; Gmc Savana, Sierra, Yukon, Yukon Xl; 2008-2010 Hummer H3; 2009-2011 Chevrolet Colorado; Gmc Canyon; And 2009-2010 Hummer H3T Vehicles, Equipped With A V8 Engine, May Have A Condition Where The Throttle Position Sensor May Cause The Engine To Run Rough And Cause The Malfunction Indicator Lamp And/Or An Engine Reduced Power Message To Illuminate. If This Occurs, It Could Result In Reduced Engine Power.

This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 120,000 Miles (193,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,,,
1GNFK33069R207042,Yes,complete,Front Passenger Airbag Takata Inflator - Priority Group 9,21V053,2021-02-05,"Tk Holdings Inc. (“Takata”) Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Passenger-Side Frontal Airbag Inflators Installed As Original Equipment In Certain 2007 To 2014 Model Year Cadillac Escalade, Escalade Esv, And Escalade Ext Vehicles; Certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, And Tahoe Vehicles; And Certain Gmc Sierra 1500, Sierra 2500/3500, Yukon, And Yukon Xl Vehicles.  The Determination Was Made That The Propellant In These Inflators May Degrade After Long-Term Exposure To High Humidity And Temperature Cycling, Which Could Cause The Inflator To Rupture During A Deployment.","An Inﬂator Rupture May Cause Metal Fragments To Pass Through The Airbag And Into The Vehicle Interior At High Speed, Which May Result In Injury Or Death To Vehicle Occupants.",Dealers Will Replace The Passenger-Side Frontal Airbag Inflator.,,
1G1ND52J92M633713,Yes,incomplete,Unintended Ignition Key Rotation,14V400,2014-07-03,"General Motors Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In 2000-2005 My Chevrolet Impala And Monte Carlo, 1997-2003 My Chevrolet Malibu, 2004-2005 My Chevrolet Malibu Classic, 1999-2004 My Oldsmobile Alero, 1998-2002 My Oldsmobile Intrigue, 1999-2005 My Pontiac Grand Am, And 2004-2008 My Pontiac Grand Prix Vehicles. If The Key Ring Is Carrying Added Weight And The Vehicle Goes Off Road Or Experiences Some Other Jarring Event, It May Unintentionally Move The Key Away From The Run Position. If This Occurs, Engine Power, Power Steering And Power Braking May Be Affected, Increasing The Risk Of A Crash.","The Timing Of The Key Movement Out Of The ""Run"" Position, Relative To The Activation Of The Sensing Algorithm Of The Crash Event, May Result In The Airbags Not Deploying, Increasing The Potential For Occupant Injury In Certain Kinds Of Crashes. Until The Recall Has Been Performed, It Is Very Important That Customers Remove All Items From Their Key Ring, Leaving Only The Vehicle Key. The Key Fob (If Applicable), Should Also Be Removed From The Key Ring.","Dealers Are To Install Two Key Rings And An Insert In The Key Slot Or A Cover Over The Key Head On All Ignition Keys, Free Of Charge.",,
1g1yy33p4n5112793,Invalid Vin,,,,,,,,,
1GNFC13017R336238,Yes,incomplete,Front Passenger Airbag Takata Inflator - Priority Group 6,21V050,2021-02-05,"Tk Holdings Inc. (“Takata”) Has Decided That A Defect Which Relates To Motor Vehicle Safety Exists In The Passenger-Side Frontal Airbag Inflators Installed As Original Equipment In Certain 2007 To 2014 Model Year Cadillac Escalade, Escalade Esv, And Escalade Ext Vehicles; Certain Chevrolet Avalanche, Silverado 1500, Silverado 2500/3500, Suburban, And Tahoe Vehicles; And Certain Gmc Sierra 1500, Sierra 2500/3500, Yukon, And Yukon Xl Vehicles.  The Determination Was Made That The Propellant In These Inflators May Degrade After Long-Term Exposure To High Humidity And Temperature Cycling, Which Could Cause The Inflator To Rupture During A Deployment.","An Inﬂator Rupture May Cause Metal Fragments To Pass Through The Airbag And Into The Vehicle Interior At High Speed, Which May Result In Injury Or Death To Vehicle Occupants.",Dealers Will Replace The Passenger-Side Frontal Airbag Inflator.,,
1GNFC13017R336238,Yes,complete,Heated Windshield Washer Module Short Circuit - Disable And Remove Module,10V240,2010-06-04,"Gm Is Recalling Certain Model Year 2006-2009 Buick Lucerne; Cadillac Dts; Hummer H2; Model Year 2008-2009 Buick Enclave; Cadillac Cts; Model Year 2007-2009 Cadillac Escalade, Escalade Esv, Escalade Ext; Chevrolet Avalanche, Silverado, Suburban, Tahoe; Gmc Acadia, Sierra, Yukon, Yukon Xl; Saturn Outlook; And Model Year 2009 Chevrolet Traverse Vehicles Equipped With A Heated Washer Fluid System (Hwfs).  A Recall Was Implemented In 2008 To Add A Fuse To The Control Circuit Harness To Address The Potential Consequences Of A Printed Circuit Board (Pcb) Electrical Short.  However, There Have Been New Reports Of Thermal Incidents On Hwfs Modules After This Improvement Was Installed.  These Incidents Resulted From A New Failure Mode Attributed To The Device'S Thermal Protection Feature.  The Significance Varies From Minor Distortion To Considerable Melting Of The Plastic Around The Hwfs Fluid Chamber.",It Is Possible For The Heated Washer Module To Ignite And A Fire May Occur.,Dealers Will Permanently Disable And Remove The Heated Washer Fluid Module Free Of Charge.  An Updated Page For The Owner Manual Will Be Provided And Inserted In The Owner Manual To Document That The Feature Has Been Permanently Disabled And Removed From The Vehicle.,,
1GNFC13017R336238,Yes,complete,Heated Windshield Washer Module Short Circuit - Add Wire Harness,,,,,,,
1GNALDEK2EZ115674,Yes,incomplete,Wiper Transmission Arm Linkage Failure,,,"Some 2010-2017 Model Year Equinox Or Terrain Vehicles May Have A Condition Where A Link Ball Socket In The Front Wiper Transmission May Separate. If This Were To Occur, The Driver Would Experience A Sudden Loss Of Front Wiper Function.
	
This Special Coverage Covers The Condition Described Above For A Period Of 10 Years Or 150,000 Miles (240,000 Km), Whichever Occurs First, From The Date The Vehicle Was Originally Placed In Service, Regardless Of Ownership.",,Dealers Are To Replace The Front Wiper Module With The Latest Version With Improved Sockets And A New Water Shield.  The Repairs Will Be Made At No Charge To The Customer.,,
1GNALDEK2EZ115674,Yes,incomplete,Windshield Wiper Failure,22V165,2022-03-17,"General Motors Has Decided That A Defect, Which Relates To Motor Vehicle Safety, Exists In Certain 2014-2015 Model Year Chevrolet Equinox And Gmc Terrain Vehicles.  The Ball Joints In The Windshield Wiper Modules Of These Vehicles May Experience High Corrosion And Wear That Could Result In The Separation Of One Or More Ball Joints From Their Sockets During Wiper Operation.  If A Ball Joint Were To Separate, One Or Both Of The Windshield Wipers Could Become Inoperative.","If One Or Both Of The Windshield Wipers Become Inoperative, It Could Limit The Driver’S Visibility Under Certain Operating Conditions, Which May Increase The Risk Of A Crash.",Dealers Will Inspect The Wiper Module And Repair Or Replace As Necessary.,,
